x,y,z
58.02,62.1,17.21
57.99,62.12,17.19
57.94,62.12,17.18
57.89,62.12,17.17
57.85,62.13,17.16
57.81,62.14,17.14
57.21,62.25,16.98
57.17,62.26,16.96
57.12,62.27,16.95
57.08,62.28,16.94
57.04,62.29,16.93
57,62.3,16.92
56.95,62.3,16.91
56.91,62.31,16.89
56.87,62.32,16.88
56.83,62.33,16.86
56.79,62.33,16.85
47.4,22.93,31.09
56.13,62.45,16.67
56.08,62.46,16.66
56.02,62.47,16.64
55.98,62.47,16.63
55.93,62.48,16.62
55.89,62.49,16.61
55.86,62.5,16.59
55.82,62.51,16.58
55.78,62.51,16.57
55.73,62.53,16.56
55.67,62.53,16.54
55.06,62.65,16.37
55.02,62.66,16.35
54.97,62.67,16.34
54.93,62.68,16.33
54.88,62.68,16.32
54.84,62.69,16.31
54.79,62.7,16.29
54.75,62.71,16.28
54.71,62.71,16.27
54.66,62.73,16.25
54.62,62.73,16.24
54.57,62.74,16.23
53.95,62.85,16.06
53.91,62.86,16.04
53.86,62.86,16.04
53.82,62.87,16.02
53.77,62.88,16.01
53.73,62.89,16
53.67,62.9,15.99
53.62,62.9,15.97
53.59,62.9,15.97
53.52,62.91,15.95
53.5,62.92,15.94
53.44,62.93,15.92
52.8,63.03,15.75
52.75,63.04,15.74
52.73,63.05,15.73
52.68,63.06,15.71
52.63,63.07,15.7
52.59,63.08,15.69
52.54,63.09,15.67
52.5,63.09,15.66
52.44,63.1,15.65
52.4,63.11,15.64
52.36,63.12,15.63
52.29,63.12,15.61
51.65,63.23,15.44
51.61,63.24,15.42
51.56,63.25,15.41
51.51,63.26,15.4
51.47,63.26,15.39
51.42,63.27,15.37
51.37,63.28,15.36
51.32,63.29,15.34
51.28,63.3,15.33
51.22,63.3,15.32
51.18,63.31,15.31
50.53,63.41,15.13
50.47,63.42,15.12
50.44,63.43,15.11
50.39,63.44,15.1
50.35,63.45,15.08
50.31,63.45,15.07
50.26,63.47,15.05
50.21,63.47,15.05
50.15,63.48,15.03
50.11,63.49,15.02
50.05,63.49,15.01
50.01,63.5,15
49.35,63.61,14.82
49.3,63.62,14.8
49.27,63.63,14.79
49.23,63.63,14.78
49.17,63.64,14.77
49.13,63.65,14.76
49.08,63.66,14.74
49.03,63.66,14.73
48.97,63.67,14.72
48.93,63.68,14.7
48.89,63.68,14.69
48.83,63.69,14.68
48.16,63.79,14.5
48.11,63.8,14.49
48.06,63.8,14.48
48.01,63.81,14.47
47.98,63.82,14.46
47.93,63.83,14.44
47.88,63.84,14.43
